,LGd
281,313.9239293409936
282,456.2549558342276
283,488.55720632253286
284,438.78403498367305
285,445.26994874759333
286,466.4258663220352
287,333.3966003209531
288,415.94396275426914
289,268.75785052752167
290,389.4765056534049
291,233.88071441531685
292,343.075149481084
293,299.88368574471474
294,414.74874352954697
295,291.8023596817857
296,227.02815936230243
297,377.96153344815116
298,401.08093510869026
299,283.1590859468426
300,460.9566950159346
301,317.18187211548275
302,430.6673742752455
303,336.8995007879596
304,366.16032560822845
305,362.45895258112137
306,372.73728292862245
307,302.34226664098065
308,443.5246389770792
309,395.04384710994003
310,348.81045044371274
311,347.4894760930242
312,416.3216112850972
313,265.1819199233522
314,299.97386328752714
315,494.7470276711567
316,345.2585829436446
317,179.7627424489298
318,315.02097632456207
319,473.9220958025718
320,390.77123628966126
321,266.75893274312136
322,261.57333781571754
323,482.0545569723196
324,359.05873402100264
325,374.32429416941864
326,326.0996034388114
327,477.1246805805771
328,328.1263280817694
329,307.33447162686014
330,251.62331482964254
331,279.73718999363143
332,436.6780609055247
333,301.09172744544856
334,345.773561322229
335,290.3924723879797
336,527.0803352528793
337,338.0963520920052
338,250.88469583552433
339,344.05998664014
340,394.4496606996694
341,367.12522682331405
342,261.882799561907
343,452.85931825306363
344,238.58102404606163
345,517.4615504667134
346,364.2019293974437
347,453.9775600226772
348,246.69034499245174
349,422.5608840560037
350,436.6256928916205
351,295.4849435438357
352,342.28908852844535
353,443.1682219950144
354,228.15151861802187
355,272.3426189047513
356,346.64763022352184
357,461.7907737784586
358,329.8556453408523
359,263.41438611090416
360,418.0314257418812
361,135.27252086892722
362,278.4173330536492
363,317.3189421184223
364,401.15608313563456
365,334.4002938965243
366,266.7635047758639
367,492.02231168906235
368,416.6516549074264
369,310.3967450800126
370,407.780774741425
371,347.5529166472507
372,438.2787976848933
373,348.00007736863137
374,365.6386894208241
375,300.42228481513456
376,540.4891359010375
377,366.39458852371723
378,409.87288606942457
379,316.4774302678615
380,470.2317480958749
381,346.92326243441084
382,301.1389483893983
383,315.26754225767706
384,455.19851888594627
385,263.89406164836487
386,336.4523099647913
387,301.323377868073
388,309.4353782521786
389,214.3343109225751
390,354.8115496051985
391,331.20772132672226
392,483.44357699098873
393,415.66018993564256
394,395.1765968581343
395,269.4936758463291
396,283.7430333786893
397,346.5019887549497
398,351.0702610148749
399,467.39525885582265
400,427.93321113759777
401,490.7181972800984
402,335.8905602212288
403,412.75655181868075
404,463.82770460422483
405,431.94849149912574
406,136.74135708004883
407,436.3255107277072
408,463.2716315859792
409,260.2682014859536
410,461.2406035538731
411,328.9495705949495
412,382.32730374677834
413,396.060348648883
414,296.22602252953055
415,346.2862493974314
416,227.48205206747858
417,402.36646445015924
418,376.0079827487535
419,285.4005528141926
420,445.3429379908283
421,324.8121247490599
422,413.0727587831897
423,324.8270477329003
424,358.5031985027506
425,450.1616048778266
426,509.01838347050165
427,461.89235461126555
428,313.4333758033426
429,379.38558628574515
430,268.5943053215525
431,497.23846906988166
432,442.1243311933373
433,285.75579603006855
434,314.0435177516674
435,346.49921735366166
436,313.18598537205895
437,339.2541942387774
438,444.1993381857568
439,295.63261039149495
440,215.52625224052923
441,186.81766874618526
442,448.0093416382772
443,380.3971118316184
444,418.32702383181316
445,377.8250506617605
446,423.14434552635424
447,394.72176230192605
448,383.4235455738032
449,383.44141583456724
450,291.7011442466657
451,331.14209302319625
