,LGd
103,542.5266589787288
104,248.55895822408905
105,437.5147175281057
106,568.1256291122276
107,376.3260731790299
108,584.2914561582718
109,433.42012490508534
110,400.6258488107726
111,504.25499493357285
112,333.0365662118202
113,225.08327549574847
114,499.8300484171814
115,425.2727279253764
116,243.1650481097454
117,295.27474846692223
118,682.6924850854167
119,334.3473070256165
120,625.3568140715001
121,489.2755736896213
122,451.5193637849983
123,422.79597496833287
124,485.7668026990401
125,451.02923117473307
126,590.322486235987
127,530.8841231257061
128,382.3348981327538
129,451.42746102694264
130,498.4592922076805
131,721.8076355891527
132,365.0641179767211
133,335.0970437304036
134,344.0046037782013
135,391.2009615179857
136,430.09299861847273
137,286.967913455204
138,542.7095103604813
139,380.53133125371335
140,592.4198789952154
141,589.6990524975262
142,653.1176685150562
143,345.5090892413398
144,457.8476938999604
145,453.3088601127566
146,307.8499069571891
147,440.9007137709412
148,527.6713766727926
149,460.3718840449953
150,465.15343001326454
151,481.6631517588506
152,537.2267585719394
153,263.00964394653363
154,486.5753233857736
155,433.522522580341
156,788.9248615507883
157,528.3585810971268
158,348.09242380438843
159,450.19610974663846
160,363.8525282295968
161,436.3714608386532
162,415.3207041054742
163,502.6823607509269
164,563.0397677661215
165,542.7053965625652
166,552.9978986246775
167,407.27216583643667
168,437.7359733837553
169,484.4377891539957
170,571.923466427433
171,619.2565031025658
172,323.1542216401679
173,360.53188280954697
174,570.104371912781
175,393.3725605764145
176,409.1138778325349
177,744.562428815009
178,349.4939286143921
179,479.01764849903276
180,556.1600852733145
181,540.7061596501535
182,388.21913519854394
183,513.2332060983473
184,313.8508663007809
185,351.35485053014816
186,332.1527658745432
187,523.8003164401738
188,581.0659092547575
189,401.57771480240496
190,481.2745544466384
191,293.9217823980066
192,652.2740091835436
193,387.467224483162
194,435.3708069230133
195,303.15732752995115
196,577.8659024594941
197,517.3253918023195
198,557.4073360595338
199,617.7119649432374
200,575.5472008829234
201,418.9239549723421
202,243.3729205744237
203,405.25164872561993
204,275.2679614875753
205,423.9311583284423
206,537.9452233356802
207,304.48489852682343
208,451.62851576719885
209,469.25725688711105
210,318.592155674282
211,468.64448606909485
212,443.20947584419747
213,369.9298639487295
214,579.3203886976722
215,554.0344591596369
216,418.00252023885326
217,414.24609870292227
218,358.74155454548253
219,328.8416765532303
220,515.2946888618508
221,451.38163853617823
222,381.7017377408376
223,595.7144081504309
224,452.0215108823964
225,744.2902768019117
226,458.2404687469392
227,458.7090371942374
228,616.4837620134774
229,430.7349015876969
230,578.8224090353873
231,494.9372007509865
232,334.94270287964497
233,552.2605904145022
234,707.9803537807691
235,454.56673889822923
236,402.44725849315563
237,440.4422765003992
238,467.9697795732927
239,470.1256875873499
240,303.15945580309966
241,449.8818293327846
242,411.56577863183014
243,438.42891254493526
244,423.97235065077047
245,343.29773120518155
246,384.14871604795763
247,445.1093652413666
248,605.3145610492733
249,455.0079280093504
250,663.6546527188939
251,322.92943062886604
252,718.6425295761952
253,438.0740263202936
254,346.1867896583959
255,390.29251691047756
256,338.7206387438187
257,726.487690860227
258,418.7385346575848
259,503.73073613011024
260,469.29311715827214
261,179.74183480587448
262,617.7246383745841
263,403.8807991843256
264,393.77984728266154
265,696.2389791070087
266,503.77126382607037
267,454.73098232363435
268,396.53753307480457
269,483.9335281388746
270,497.1085380151334
271,456.76467649061044
272,400.63732438416145
273,464.54896936867664
274,323.6974505071986
275,480.93251925099327
276,317.6195012596275
277,492.5364811879859
278,577.7056168874021
279,362.77467735706176
280,290.0929962626618
281,367.8536683388162
282,321.739960167071
283,436.34235891710216
284,294.7597873218955
285,496.722972899894
286,454.9050561351811
287,655.3089746325774
288,412.83082714908346
289,540.1600568369837
290,491.0754145863291
291,342.10985265391184
292,473.1951620223608
293,536.1575462563504
294,527.1184530773864
295,383.44756875679917
296,350.509877781803
297,409.19705359325155
298,574.3849631488556
299,589.3427817572349
300,369.5776367723612
301,438.0635723069158
302,425.0493317344107
303,474.92209489056563
304,598.2425576593569
305,280.3203112012005
306,441.40692027826873
307,265.3870161755206
308,521.2366299880424
309,641.7946156504285
310,342.7177004707988
311,487.3672461200027
312,477.7496047370015
313,386.5184178208958
314,403.65200926023596
