,ind,area,ratio_low,ratio_high,ratio_fit_low,ratio_fit_high,slope_low,slope_high,ratio_fit_diff,ratio_fit_ratio,p
290,78,0,0.06235815052570297,0.14709828961962487,0.0622043880305451,0.1468932996869149,0.00022394349071047393,5.483639540299114e-05,0.0846889116563698,2.3614620179975696,0.0005954323209844311
353,53,3,0.03687184132746531,0.0947188688229167,0.03629953779753865,0.0949737119956056,1.7220812655980382e-05,4.3830258357077694e-05,0.05867417419806695,2.6163890164476267,0.0006052466023557509
327,16,2,0.042278142440257974,0.09563654346461355,0.04208310979248274,0.09683095746267074,-1.5075776147258773e-05,4.465009706279574e-05,0.054747847670188005,2.30094586498376,0.0006067652211553965
437,85,2,0.04806008242503009,0.13875930107464202,0.04736073767779582,0.13996226428861447,-7.249428536022742e-05,9.381626630803264e-05,0.09260152661081865,2.9552382659409697,0.0006159032364990637
45,41,0,0.032450188984893505,0.09701879590434948,0.03125601159805474,0.09662721095814647,9.070191554787997e-05,6.612065002753234e-05,0.06537119936009173,3.09147603989756,0.0006312720885596639
87,82,2,0.05274435320519386,0.09427218200414854,0.05259052088289602,0.09448506937656159,0.00013313345955114617,2.7749710771302913e-05,0.04189454849366557,1.796617865545631,0.0006377851844002897
109,31,4,0.062476435463787325,0.1733261655918368,0.06050975893498654,0.17489175133509527,-0.0001364144542756442,0.0001034024764646057,0.11438199240010873,2.8903065292823937,0.0006464192640955906
15,96,0,0.0570489643691754,0.09062791647837416,0.05697543883157953,0.09069652825303948,3.716118534257179e-05,5.845080080518751e-05,0.033721089421459946,1.5918530881550579,0.0006598712476552462
124,2,4,0.050095068317806454,0.18032061237562588,0.05028946510295409,0.1805802059535008,0.00033007991343187674,0.00012524273185704208,0.1302907408505467,3.5908158017551317,0.000661184859763307
235,69,0,0.03501489864256271,0.10944002692415074,0.03536816257638918,0.10984364825576055,0.0001479401861326063,6.99985011737586e-05,0.07447548567937137,3.105721085128951,0.0007079559311943987
462,62,2,0.043343892966434226,0.11426549834160853,0.04350438195730518,0.11424007914673272,0.0001447829301580742,2.60081474580644e-05,0.07073569718942754,2.6259441924458766,0.0007282244524353705
103,60,3,0.024195732614225144,0.0730297357959632,0.024659148965701694,0.07276627680069477,9.164318000481873e-05,4.196179797049766e-05,0.048107127834993074,2.9508835402999947,0.0007407009809051745
0,51,0,0.028381941452643025,0.09070640473012496,0.02896733442842734,0.09037783367197377,0.00012883096063306287,5.79492891177435e-05,0.06141049924354643,3.11999137840176,0.0007590372399919466
70,3,0,0.061345075343942505,0.1639603649033955,0.05820023314483005,0.16627937552371994,-0.00014610799464503656,0.00010539840937114788,0.10807914237888988,2.8570224986889183,0.0007883214676421717
